LGA_CODE,CLASS_CODE,LGA,GAZETTED_LGA_NAME,STATUS,DOI_LGA,VICGOV_REGION_CODE,DSE_REGION_CODE,UFI,UFI_CREATED,DEPI_REGION_CODE,DELWP_REGION_CODE,ABS_LGA_CODE,ROAD_SLOPE_FACTOR
"356",S,NILLUMBIK,NILLUMBIK SHIRE,ACTIVE,NILLUMBIK,"16","3",10220859,2022/10/18,"3","3","25710",-99.999
"357",S,NORTHERN GRAMPIANS,NORTHERN GRAMPIANS SHIRE,ACTIVE,NORTHERN GRAMPIANS,"13","5",10220860,2022/10/18,"7","7","25810",-99.999
"358",C,PORT PHILLIP,PORT PHILLIP CITY,ACTIVE,PORT PHILLIP,"17","3",10220861,2022/10/18,"3","3","25900",-99.999
"359",S,PYRENEES,PYRENEES SHIRE,ACTIVE,PYRENEES,"13","5",10220862,2022/10/18,"7","7","25990",-99.999
"360",B,QUEENSCLIFFE,QUEENSCLIFFE BOROUGH,ACTIVE,QUEENSCLIFFE,"10","5",10220863,2022/10/18,"5","5","26080",-99.999
"361",S,SOUTH GIPPSLAND,SOUTH GIPPSLAND SHIRE,ACTIVE,SOUTH GIPPSLAND,"12","2",10220864,2022/10/18,"2","2","26170",-99.999
"362",S,SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS SHIRE,ACTIVE,SOUTHERN GRAMPIANS,"10","5",10220865,2022/10/18,"5","5","26260",-99.999
"363",C,STONNINGTON,STONNINGTON CITY,ACTIVE,STONNINGTON,"17","3",10220866,2022/10/18,"3","3","26350",-99.999
"364",S,STRATHBOGIE,STRATHBOGIE SHIRE,ACTIVE,STRATHBOGIE,"14","4",10220867,2022/10/18,"4","4","26430",-99.999
"365",S,SURF COAST,SURF COAST SHIRE,ACTIVE,SURF COAST,"10","5",10220868,2022/10/18,"5","5","26490",-99.999
"351",C,MERRI-BEK,MERRI-BEK CITY,ACTIVE,MERRI-BEK,"16","3",10220986,2022/10/27,"3","3","25250",-99.999
