TOWNSHIP_CODE,TOWNSHIP,STATUS,UFI,UFI_CREATED
2478A,"FOOTSCRAY, CITY OF : PARISH OF CUT-PAW-PAW",ACTIVE,       10013586,2008/02/28
2541A,"ESSENDON, AT : PARISH OF DOUTTA GALLA",ACTIVE,       10013590,2008/02/28
2796C,"CLIFTON HILL, AT : CITY OF COLLINGWOOD : PARISH OF JIKA JIKA",ACTIVE,       10013595,2008/02/28
2796J,"ROYAL PARK, AT : PARISH OF JIKA JIKA",ACTIVE,       10013601,2008/02/28
3084B,"PORT MELBOURNE, CITY OF : PARISH OF MELBOURNE SOUTH",ACTIVE,       10013605,2008/02/28
3186A,"MORDIALLOC, CITY OF : PARISH OF MORDIALLOC",ACTIVE,       10013610,2008/02/28
3389A,"COWES, AT : PARISH OF PHILLIP ISLAND",ACTIVE,       10013614,2008/02/28
3416E,"GARDINER, AT : PARISH OF PRAHRAN",ACTIVE,       10013619,2008/02/28
3730A,"ROSEBUD, AT : PARISH OF WANNAEUE",ACTIVE,       10013622,2008/02/28
5124,BUFFALO,ACTIVE,       10013626,2008/02/28
5128,BULLUMWAAL,ACTIVE,       10013628,2008/02/28
5135,BUNYIP,ACTIVE,       10013631,2008/02/28
5137,BURREREO,ACTIVE,       10013632,2008/02/28
5144,CAMBRIAN HILL,ACTIVE,       10013635,2008/02/28
5149,CAPE CLEAR,ACTIVE,       10013637,2008/02/28
5154,CARISBROOK,ACTIVE,       10013639,2008/02/28
5158,CARRAJUNG,ACTIVE,       10013641,2008/02/28
5165,CAVENDISH,ACTIVE,       10013644,2008/02/28
5169,CHEROKEE,ACTIVE,       10013646,2008/02/28
5174,CHINKAPOOK,ACTIVE,       10013648,2008/02/28
5178,CLUNES,ACTIVE,       10013650,2008/02/28
5182,COBURG,ACTIVE,       10013652,2008/02/28
5186,COLAC,ACTIVE,       10013654,2008/02/28
5190,CONGUPNA ROAD,ACTIVE,       10013656,2008/02/28
5196,CORA LYNN,ACTIVE,       10013658,2008/02/28
5201,COSTERFIELD,ACTIVE,       10013660,2008/02/28
5207,CRANBOURNE,ACTIVE,       10013663,2008/02/28
5212,CRIB POINT,ACTIVE,       10013665,2008/02/28
5216,CULGOA,ACTIVE,       10013667,2008/02/28
5221,DANDENONG,ACTIVE,       10013669,2008/02/28
5225,DARLINGFORD,UNMAPPED,       10013671,2008/02/28
5229,DARTMOOR,ACTIVE,       10013673,2008/02/28
5236,DEPTFORD,ACTIVE,       10013676,2008/02/28
5240,DEVENISH WEST,ACTIVE,       10013678,2008/02/28
5245,DIMBOOLA,ACTIVE,       10013680,2008/02/28
5249,DOUGLAS,ACTIVE,       10013682,2008/02/28
5253,DRY DIGGINGS,ACTIVE,       10013684,2008/02/28
5258,DURHAM,ACTIVE,       10013686,2008/02/28
5262,EAST MURCHISON,ACTIVE,       10013688,2008/02/28
5269,EILYAR,ACTIVE,       10013691,2008/02/28
5273,ELINGAMITE NORTH,ACTIVE,       10013693,2008/02/28
5278,ELPHINSTONE,ACTIVE,       10013695,2008/02/28
5284,EPSOM,ACTIVE,       10013698,2008/02/28
5288,EVANSFORD,ACTIVE,       10013700,2008/02/28
5292,FLINDERS,ACTIVE,       10013702,2008/02/28
5298,FOXHOW,ACTIVE,       10013704,2008/02/28
5303,FRYERSTOWN,ACTIVE,       10013706,2008/02/28
5307,GARFIELD,ACTIVE,       10013708,2008/02/28
5311,GEELONG (CITY),ACTIVE,       10013710,2008/02/28
5319,GIRGARRE,ACTIVE,       10013713,2008/02/28
5323,GLENGOWER,ACTIVE,       10013715,2008/02/28
5328,GLENTHOMPSON,ACTIVE,       10013717,2008/02/28
5333,GOON NURE,ACTIVE,       10013719,2008/02/28
5338,GORMANDALE,ACTIVE,       10013721,2008/02/28
5342,GOWAR,ACTIVE,       10013723,2008/02/28
5346,GRANT,ACTIVE,       10013725,2008/02/28
5349,GRANYA,ACTIVE,       10013727,2008/02/28
5354,GREENS CREEK,ACTIVE,       10013729,2008/02/28
5359,GUILDFORD,ACTIVE,       10013731,2008/02/28
5366,HARCOURT,ACTIVE,       10013734,2008/02/28
5370,HATTAH,ACTIVE,       10013736,2008/02/28
5494,MALLACOOTA,ACTIVE,       10013738,2008/02/28
5499,MANORINA,ACTIVE,       10013740,2008/02/28
5503,MARLO,ACTIVE,       10013742,2008/02/28
5507,MARUNGI,ACTIVE,       10013744,2008/02/28
5511,MATLOCK,ACTIVE,       10013746,2008/02/28
5515,MELTON,ACTIVE,       10013748,2008/02/28
5519,MERINGUR,ACTIVE,       10013750,2008/02/28
