PARISH_TOWN_ID,PARISH_TOWN_CODE,PARISH_TOWN,PARISH_TOWN_DISPLAY,UFI,UFI_CREATED
  1018,2644,GELLIBRAND,PARISH OF GELLIBRAND,       10010489,2008/02/28
  1019,5313,GELLIBRAND (T),TOWNSHIP OF GELLIBRAND,       10010490,2008/02/28
  1020,2645,GEMBROOK,PARISH OF GEMBROOK,       10010491,2008/02/28
  1021,2646,GERAHMIN,PARISH OF GERAHMIN,       10010492,2008/02/28
  1022,2648,GERANG GERUNG,PARISH OF GERANG GERUNG,       10010493,2008/02/28
  1023,5315,GERANG GERUNG (T),TOWNSHIP OF GERANG GERUNG,       10010494,2008/02/28
  1024,2647,GERANGAMETE,PARISH OF GERANGAMETE,       10010495,2008/02/28
  1025,5314,GERANGAMETE (T),TOWNSHIP OF GERANGAMETE,       10010496,2008/02/28
  1026,2649,GHERANG GHERANG,PARISH OF GHERANG GHERANG,       10010497,2008/02/28
  1027,2650,GHERINEGHAP,PARISH OF GHERINEGHAP,       10010498,2008/02/28
  1028,2651,GHIN GHIN,PARISH OF GHIN GHIN,       10010499,2008/02/28
  1029,5316,GHIN GHIN (T),TOWNSHIP OF GHIN GHIN,       10010500,2008/02/28
  1030,2652,GIBBO,PARISH OF GIBBO,       10010501,2008/02/28
  1031,2653,GIFFARD,PARISH OF GIFFARD,       10010502,2008/02/28
  1033,2654,GILLINGALL,PARISH OF GILLINGALL,       10010504,2008/02/28
  1034,2655,GILLUM,PARISH OF GILLUM,       10010505,2008/02/28
  1036,2657,GINAP,PARISH OF GINAP,       10010507,2008/02/28
  1037,2658,GINGIMRICK,PARISH OF GINGIMRICK,       10010508,2008/02/28
  1039,5318,GIPSY POINT (T),TOWNSHIP OF GIPSY POINT,       10010510,2008/02/28
  1040,2660,GIRGARRE,PARISH OF GIRGARRE,       10010511,2008/02/28
  1042,2661,GIRGARRE EAST,PARISH OF GIRGARRE EAST,       10010513,2008/02/28
  1043,2662,GISBORNE,PARISH OF GISBORNE,       10010514,2008/02/28
  1044,5320,GISBORNE (T),TOWNSHIP OF GISBORNE,       10010515,2008/02/28
  1046,5322,GLEN DART (T),TOWNSHIP OF GLEN DART,       10010517,2008/02/28
  1047,5329,GLEN WILLS (T),TOWNSHIP OF GLEN WILLS,       10010518,2008/02/28
  1048,2663,GLENALADALE,PARISH OF GLENALADALE,       10010519,2008/02/28
  1050,2665,GLENAROUA,PARISH OF GLENAROUA,       10010521,2008/02/28
  1051,2666,GLENAULIN,PARISH OF GLENAULIN,       10010522,2008/02/28
  1053,2668,GLENCOE,PARISH OF GLENCOE,       10010524,2008/02/28
  1054,2669,GLENCOE SOUTH,PARISH OF GLENCOE SOUTH,       10010525,2008/02/28
  1055,2670,GLENDALE,PARISH OF GLENDALE,       10010526,2008/02/28
  1057,2672,GLENDHU,PARISH OF GLENDHU,       10010528,2008/02/28
  1058,2673,GLENELG,PARISH OF GLENELG,       10010529,2008/02/28
  1060,5323,GLENGOWER (T),TOWNSHIP OF GLENGOWER,       10010531,2008/02/28
  1061,2675,GLENHOPE,PARISH OF GLENHOPE,       10010532,2008/02/28
  1063,2677,GLENLOTH,PARISH OF GLENLOTH,       10010534,2008/02/28
  1064,2678,GLENLYON,PARISH OF GLENLYON,       10010535,2008/02/28
  1065,5324,GLENLYON (T),TOWNSHIP OF GLENLYON,       10010536,2008/02/28
  1067,5325,GLENMAGGIE (T),TOWNSHIP OF GLENMAGGIE,       10010538,2008/02/28
  1068,2680,GLENMONA,PARISH OF GLENMONA,       10010539,2008/02/28
  1070,2682,GLENORCHY,PARISH OF GLENORCHY,       10010541,2008/02/28
  1071,5326,GLENORCHY (T),TOWNSHIP OF GLENORCHY,       10010542,2008/02/28
  1073,2684,GLENPATRICK,PARISH OF GLENPATRICK,       10010544,2008/02/28
  1074,2685,GLENROWEN,PARISH OF GLENROWEN,       10010545,2008/02/28
  1075,5327,GLENROWEN (T),TOWNSHIP OF GLENROWEN,       10010546,2008/02/28
  1077,2686,GLENWATTS,PARISH OF GLENWATTS,       10010548,2008/02/28
  1078,2687,GLYNWYLLN,PARISH OF GLYNWYLLN,       10010549,2008/02/28
  1079,2688,GNARKEET,PARISH OF GNARKEET,       10010550,2008/02/28
  1081,2690,GNARWARRE,PARISH OF GNARWARRE,       10010552,2008/02/28
  1082,2691,GNARWEE,PARISH OF GNARWEE,       10010553,2008/02/28
  1084,2693,GOBUR,PARISH OF GOBUR,       10010555,2008/02/28
  1085,5330,GOBUR (T),TOWNSHIP OF GOBUR,       10010556,2008/02/28
  1087,2694,GOLDIE,PARISH OF GOLDIE,       10010558,2008/02/28
  1088,5332,GOLDSBOROUGH (T),TOWNSHIP OF GOLDSBOROUGH,       10010559,2008/02/28
  1089,2695,GOLTON GOLTON,PARISH OF GOLTON GOLTON,       10010560,2008/02/28
  1091,2697,GOOLENGOOK,PARISH OF GOOLENGOOK,       10010562,2008/02/28
  1092,2698,GOOMALIBEE,PARISH OF GOOMALIBEE,       10010563,2008/02/28
  1094,5333,GOON NURE (T),TOWNSHIP OF GOON NURE,       10010565,2008/02/28
  1095,2699,GOONEGUL,PARISH OF GOONEGUL,       10010566,2008/02/28
  1096,2700,GOONGEE,PARISH OF GOONGEE,       10010567,2008/02/28
  1098,2705,GOORAM GOORAM GONG,PARISH OF GOORAM GOORAM GONG,       10010569,2008/02/28
  1099,2703,GOORAMADDA,PARISH OF GOORAMADDA,       10010570,2008/02/28
  1101,2704,GOORAMBAT,PARISH OF GOORAMBAT,       10010572,2008/02/28
  1102,2706,GOORNONG,PARISH OF GOORNONG,       10010573,2008/02/28
  1103,5335,GOORNONG (T),TOWNSHIP OF GOORNONG,       10010574,2008/02/28
  1105,2707,GORAE,PARISH OF GORAE,       10010576,2008/02/28
  1106,5337,GORDON (T),TOWNSHIP OF GORDON,       10010577,2008/02/28
  1108,2708,GOROKE,PARISH OF GOROKE,       10010579,2008/02/28
  1109,5339,GOROKE (T),TOWNSHIP OF GOROKE,       10010580,2008/02/28
  1110,2709,GORONG,PARISH OF GORONG,       10010581,2008/02/28
  1112,2711,GORROCKBURKGHAP,PARISH OF GORROCKBURKGHAP,       10010583,2008/02/28
  1113,2712,GORYA,PARISH OF GORYA,       10010584,2008/02/28
  1115,2713,GOULBURN,PARISH OF GOULBURN,       10010586,2008/02/28
  1116,5341,GOULD (T),TOWNSHIP OF GOULD,       10010587,2008/02/28
  1117,2714,GOWANGARDIE,PARISH OF GOWANGARDIE,       10010588,2008/02/28
  1119,5342,GOWAR (T),TOWNSHIP OF GOWAR,       10010590,2008/02/28
  1120,5343,GOWAR EAST (T),TOWNSHIP OF GOWAR EAST,       10010591,2008/02/28
  1122,5344,GOYURA (T),TOWNSHIP OF GOYURA,       10010593,2008/02/28
  1123,2717,GRACEDALE,PARISH OF GRACEDALE,       10010594,2008/02/28
  1125,5345,GRANITE FLAT (T),TOWNSHIP OF GRANITE FLAT,       10010596,2008/02/28
  1126,5346,GRANT (T),TOWNSHIP OF GRANT,       10010597,2008/02/28
  1128,5347,GRANTON (T),TOWNSHIP OF GRANTON,       10010599,2008/02/28
  1129,5348,GRANTVILLE (T),TOWNSHIP OF GRANTVILLE,       10010600,2008/02/28
  1131,5349,GRANYA (T),TOWNSHIP OF GRANYA,       10010602,2008/02/28
  1132,2721,GRASSDALE,PARISH OF GRASSDALE,       10010603,2008/02/28
  1134,2725,GRE GRE,PARISH OF GRE GRE,       10010605,2008/02/28
  1135,5355,GRE GRE (T),TOWNSHIP OF GRE GRE,       10010606,2008/02/28
  1137,2722,GREDGWIN,PARISH OF GREDGWIN,       10010608,2008/02/28
  1138,5353,GREEN GULLY (T),TOWNSHIP OF GREEN GULLY,       10010609,2008/02/28
  1139,5354,GREENS CREEK (T),TOWNSHIP OF GREENS CREEK,       10010610,2008/02/28
  1140,5352,GREENDALE (T),TOWNSHIP OF GREENDALE,       10010611,2008/02/28
  1142,2724,GREENSBOROUGH,PARISH OF GREENSBOROUGH,       10010613,2008/02/28
  1143,5356,GRENVILLE (T),TOWNSHIP OF GRENVILLE,       10010614,2008/02/28
  1145,5357,GRETA (T),TOWNSHIP OF GRETA,       10010616,2008/02/28
  1146,5358,GRETA WEST (T),TOWNSHIP OF GRETA WEST,       10010617,2008/02/28
  1148,2728,GRITJURK,PARISH OF GRITJURK,       10010619,2008/02/28
  1149,2729,GRUYERE,PARISH OF GRUYERE,       10010620,2008/02/28
  1150,2730,GUILDFORD,PARISH OF GUILDFORD,       10010621,2008/02/28
  1152,2731,GUNAMALARY,PARISH OF GUNAMALARY,       10010623,2008/02/28
  1153,2732,GUNBOWER,PARISH OF GUNBOWER,       10010624,2008/02/28
  1154,5360,GUNBOWER (T),TOWNSHIP OF GUNBOWER,       10010625,2008/02/28
  1156,2734,GUNDOWRING,PARISH OF GUNDOWRING,       10010627,2008/02/28
  1157,2735,GUNGARLAN,PARISH OF GUNGARLAN,       10010628,2008/02/28
  1158,2736,GUNYAH GUNYAH,PARISH OF GUNYAH GUNYAH,       10010629,2008/02/28
  1160,2737,GUTCHU,PARISH OF GUTCHU,       10010631,2008/02/28
  1161,2738,GUTTAMURRA,PARISH OF GUTTAMURRA,       10010632,2008/02/28
  1162,2739,GYMBOWEN,PARISH OF GYMBOWEN,       10010633,2008/02/28
  1164,5362,HADDON (T),TOWNSHIP OF HADDON,       10010635,2008/02/28
  1165,5363,HAINES (T),TOWNSHIP OF HAINES,       10010636,2008/02/28
  1167,2741,HAMILTON NORTH,PARISH OF HAMILTON NORTH,       10010638,2008/02/28
  1168,2742,HAMILTON SOUTH,PARISH OF HAMILTON SOUTH,       10010639,2008/02/28
  1170,2743,HARCOURT,PARISH OF HARCOURT,       10010641,2008/02/28
  1171,5366,HARCOURT (T),TOWNSHIP OF HARCOURT,       10010642,2008/02/28
  1172,2744,HARRIETVILLE,PARISH OF HARRIETVILLE,       10010643,2008/02/28
  1173,5367,HARRIETVILLE (T),TOWNSHIP OF HARRIETVILLE,       10010644,2008/02/28
  1175,5368,HARROW (T),TOWNSHIP OF HARROW,       10010646,2008/02/28
  1176,5369,HASTINGS (T),TOWNSHIP OF HASTINGS,       10010647,2008/02/28
  1178,2746,HAVELOCK,PARISH OF HAVELOCK,       10010649,2008/02/28
  1179,5371,HAWKESDALE (T),TOWNSHIP OF HAWKESDALE,       10010650,2008/02/28
  1181,2541C,HAWSTEAD:AT (DOUTTA GALLA),"AT HAWSTEAD, PARISH OF DOUTTA GALLA",       10010652,2008/02/28
  1182,2209A,HAWTHORN:AT (BOROONDARA),"AT HAWTHORN, PARISH OF BOROONDARA",       10010653,2008/02/28
  1184,2749,HAZELWOOD,PARISH OF HAZELWOOD,       10010655,2008/02/28
  1185,5372,HEALESVILLE (T),TOWNSHIP OF HEALESVILLE,       10010656,2008/02/28
  1186,2750,HEATHCOTE,PARISH OF HEATHCOTE,       10010657,2008/02/28
  1188,5374,HEATHERLIE (T),TOWNSHIP OF HEATHERLIE,       10010659,2008/02/28
  1189,5375,HEDLEY (T),TOWNSHIP OF HEDLEY,       10010660,2008/02/28
  1191,2751,HELENDOITE,PARISH OF HELENDOITE,       10010662,2008/02/28
  1192,2752,HENSLEY,PARISH OF HENSLEY,       10010663,2008/02/28
  1193,5377,HEPBURN (T),TOWNSHIP OF HEPBURN,       10010664,2008/02/28
  1195,5378,HEXHAM (T),TOWNSHIP OF HEXHAM,       10010666,2008/02/28
  1196,2754,HEXHAM EAST,PARISH OF HEXHAM EAST,       10010667,2008/02/28
  1198,5379,HEYFIELD (T),TOWNSHIP OF HEYFIELD,       10010669,2008/02/28
  1199,2756,HEYWOOD,PARISH OF HEYWOOD,       10010670,2008/02/28
  1200,5380,HEYWOOD (T),TOWNSHIP OF HEYWOOD,       10010671,2008/02/28
  1202,2758,HINDMARSH,PARISH OF HINDMARSH,       10010673,2008/02/28
  1203,2759,HINNO-MUNJIE,PARISH OF HINNO-MUNJIE,       10010674,2008/02/28
  1205,5382,HODDLE (T),TOWNSHIP OF HODDLE,       10010676,2008/02/28
  1206,2760,HOLCOMBE,PARISH OF HOLCOMBE,       10010677,2008/02/28
  1207,2761,HOLDEN,PARISH OF HOLDEN,       10010678,2008/02/28
  1209,5383,HOLLINWOOD (T),TOWNSHIP OF HOLLINWOOD,       10010680,2008/02/28
  1210,5384,HOMEBUSH (T),TOWNSHIP OF HOMEBUSH,       10010681,2008/02/28
  1211,2763,HOMERTON,PARISH OF HOMERTON,       10010682,2008/02/28
  1213,2764,HORSHAM,PARISH OF HORSHAM,       10010684,2008/02/28
  1214,5386,HORSHAM (T),TOWNSHIP OF HORSHAM,       10010685,2008/02/28
  1216,2766,HOTSPUR,PARISH OF HOTSPUR,       10010687,2008/02/28
  1217,5387,HOTSPUR (T),TOWNSHIP OF HOTSPUR,       10010688,2008/02/28
  1219,2768,HOWQUA,PARISH OF HOWQUA,       10010690,2008/02/28
  1220,5388,HOWQUA (T),TOWNSHIP OF HOWQUA,       10010691,2008/02/28
  1221,2769,HOWQUA WEST,PARISH OF HOWQUA WEST,       10010692,2008/02/28
  1223,5389,HUNTLY (T),TOWNSHIP OF HUNTLY,       10010694,2008/02/28
  1224,5390,IGUANA CREEK (T),TOWNSHIP OF IGUANA CREEK,       10010695,2008/02/28
  1226,2772,INDI,PARISH OF INDI,       10010697,2008/02/28
  1227,2773,INGEEGOODBEE,PARISH OF INGEEGOODBEE,       10010698,2008/02/28
  1229,5391,INGLEWOOD (T),TOWNSHIP OF INGLEWOOD,       10010700,2008/02/28
  1230,5392,INVERLEIGH (T),TOWNSHIP OF INVERLEIGH,       10010701,2008/02/28
  1231,5393,INVERLOCH (T),TOWNSHIP OF INVERLOCH,       10010702,2008/02/28
  1233,2776,IRREWILLIPE,PARISH OF IRREWILLIPE,       10010704,2008/02/28
  1234,5394,IRREWILLIPE (T),TOWNSHIP OF IRREWILLIPE,       10010705,2008/02/28
  1236,2778,JALLUKAR,PARISH OF JALLUKAR,       10010707,2008/02/28
  1237,2779,JALUR,PARISH OF JALUR,       10010708,2008/02/28
  1239,2780,JAMIESON,PARISH OF JAMIESON,       10010710,2008/02/28
  1240,5395,JAMIESON (T),TOWNSHIP OF JAMIESON,       10010711,2008/02/28
  1241,2784,JAN JUC,PARISH OF JAN JUC,       10010712,2008/02/28
  1243,2782,JANIEMBER EAST,PARISH OF JANIEMBER EAST,       10010714,2008/02/28
  1244,2783,JANIEMBER WEST,PARISH OF JANIEMBER WEST,       10010715,2008/02/28
  1245,2785,JARKLAN,PARISH OF JARKLAN,       10010716,2008/02/28
  1247,2786,JEERALANG,PARISH OF JEERALANG,       10010718,2008/02/28
  1248,5398,JEERALANG JUNCTION (T),TOWNSHIP OF JEERALANG JUNCTION,       10010719,2008/02/28
  1250,2788,JEETHO WEST,PARISH OF JEETHO WEST,       10010721,2008/02/28
  1251,2789,JEFFCOTT,PARISH OF JEFFCOTT,       10010722,2008/02/28
  1253,2791,JEMBA,PARISH OF JEMBA,       10010724,2008/02/28
  1254,2792,JENNAWARRA,PARISH OF JENNAWARRA,       10010725,2008/02/28
  1256,5399,JERRO (T),TOWNSHIP OF JERRO,       10010727,2008/02/28
  1257,2794,JERRYWAROOK,PARISH OF JERRYWAROOK,       10010728,2008/02/28
  1258,2795,JERUK,PARISH OF JERUK,       10010729,2008/02/28
  1260,2797,JIL JIL,PARISH OF JIL JIL,       10010731,2008/02/28
  1261,2798,JILPANGER,PARISH OF JILPANGER,       10010732,2008/02/28
  1263,2800,JINDERBOINE,PARISH OF JINDERBOINE,       10010734,2008/02/28
  1264,2801,JINDIVICK,PARISH OF JINDIVICK,       10010735,2008/02/28
  1266,2803,JINJELLIC,PARISH OF JINJELLIC,       10010737,2008/02/28
  1267,2804,JIRNKEE,PARISH OF JIRNKEE,       10010738,2008/02/28
  1269,2806,JOEL JOEL,PARISH OF JOEL JOEL,       10010740,2008/02/28
  1270,5400,JOHNSONVILLE (T),TOWNSHIP OF JOHNSONVILLE,       10010741,2008/02/28
  1273,2809,JUMBUNNA,PARISH OF JUMBUNNA,       10010744,2008/02/28
  1275,2811,JUNG JUNG,PARISH OF JUNG JUNG,       10010746,2008/02/28
  1276,2812,JUNGKUM,PARISH OF JUNGKUM,       10010747,2008/02/28
  1277,2813,KAANGLANG,PARISH OF KAANGLANG,       10010748,2008/02/28
  1279,2815,KADNOOK,PARISH OF KADNOOK,       10010750,2008/02/28
  1280,2816,KAERWUT,PARISH OF KAERWUT,       10010751,2008/02/28
  1282,5401,KALIMNA (T),TOWNSHIP OF KALIMNA,       10010753,2008/02/28
  1283,2818,KALINGUR,PARISH OF KALINGUR,       10010754,2008/02/28
  1285,2819,KALKALLO,PARISH OF KALKALLO,       10010756,2008/02/28
  1286,5402,KALKALLO (T),TOWNSHIP OF KALKALLO,       10010757,2008/02/28
  1287,2820,KALKEE,PARISH OF KALKEE,       10010758,2008/02/28
  1290,2824,KALYMNA,PARISH OF KALYMNA,       10010761,2008/02/28
  1292,2826,KANAWALLA,PARISH OF KANAWALLA,       10010763,2008/02/28
  1293,2827,KANAWINKA,PARISH OF KANAWINKA,       10010764,2008/02/28
  1295,2829,KANEIRA,PARISH OF KANEIRA,       10010766,2008/02/28
  1296,5403,KANGAROO FLAT (T),TOWNSHIP OF KANGAROO FLAT,       10010767,2008/02/28
  1298,2831,KANGERONG,PARISH OF KANGERONG,       10010769,2008/02/28
  1299,2832,KANGERTONG,PARISH OF KANGERTONG,       10010770,2008/02/28
  1300,2833,KANIVA,PARISH OF KANIVA,       10010771,2008/02/28
  1302,2834,KANYAPELLA,PARISH OF KANYAPELLA,       10010773,2008/02/28
  1303,2835,KAPONG,PARISH OF KAPONG,       10010774,2008/02/28
  1305,5405,KARABEAL (T),TOWNSHIP OF KARABEAL,       10010776,2008/02/28
  1306,2837,KARADOC,PARISH OF KARADOC,       10010777,2008/02/28
  1309,5406,KARAWINNA (T),TOWNSHIP OF KARAWINNA,       10010780,2008/02/28
  1310,5407,KARDELLA (T),TOWNSHIP OF KARDELLA,       10010781,2008/02/28
  1312,2841,KARLO,PARISH OF KARLO,       10010783,2008/02/28
  1314,5408,KARNAK (T),TOWNSHIP OF KARNAK,       10010785,2008/02/28
  1315,2843,KARNGUN,PARISH OF KARNGUN,       10010786,2008/02/28
  1317,2845,KARRAMOMUS,PARISH OF KARRAMOMUS,       10010788,2008/02/28
  1318,2846,KARUP KARUP,PARISH OF KARUP KARUP,       10010789,2008/02/28
  1319,2847,KARWEEN,PARISH OF KARWEEN,       10010790,2008/02/28
  1321,2848,KARYRIE,PARISH OF KARYRIE,       10010792,2008/02/28
  1322,2849,KATAMATITE,PARISH OF KATAMATITE,       10010793,2008/02/28
  1324,2850,KATANDRA,PARISH OF KATANDRA,       10010795,2008/02/28
  1325,5411,KATANDRA (T),TOWNSHIP OF KATANDRA,       10010796,2008/02/28
  1328,2852,KATUNGA,PARISH OF KATUNGA,       10010799,2008/02/28
  1329,2853,KATYIL,PARISH OF KATYIL,       10010800,2008/02/28
  1330,2854,KAY,PARISH OF KAY,       10010801,2008/02/28
  1331,2855,KEELANGIE,PARISH OF KEELANGIE,       10010802,2008/02/28
  1332,2856,KEELBUNDORA,PARISH OF KEELBUNDORA,       10010803,2008/02/28
  1333,2857,KEILAMBETE,PARISH OF KEILAMBETE,       10010804,2008/02/28
  1334,5412,KEILOR (T),TOWNSHIP OF KEILOR,       10010805,2008/02/28
  1335,2858,KELFEERA,PARISH OF KELFEERA,       10010806,2008/02/28
  1336,2859,KELLALAC,PARISH OF KELLALAC,       10010807,2008/02/28
  1337,2860,KENMARE,PARISH OF KENMARE,       10010808,2008/02/28
  1338,2861,KENTBRUCK,PARISH OF KENTBRUCK,       10010809,2008/02/28
  1339,2862,KERANG,PARISH OF KERANG,       10010810,2008/02/28
  1340,5413,KERANG (T),TOWNSHIP OF KERANG,       10010811,2008/02/28
  1341,2863,KERGUNYAH,PARISH OF KERGUNYAH,       10010812,2008/02/28
  1342,2864,KERGUNYAH NORTH,PARISH OF KERGUNYAH NORTH,       10010813,2008/02/28
  1343,2865,KERRIE,PARISH OF KERRIE,       10010814,2008/02/28
  1344,2866,KERRISDALE,PARISH OF KERRISDALE,       10010815,2008/02/28
  1345,2867,KERRIT BAREET,PARISH OF KERRIT BAREET,       10010816,2008/02/28
  1346,2868,KEVINGTON,PARISH OF KEVINGTON,       10010817,2008/02/28
  1347,5414,KEWELL (T),TOWNSHIP OF KEWELL,       10010818,2008/02/28
  1348,2869,KEWELL EAST,PARISH OF KEWELL EAST,       10010819,2008/02/28
  1349,2870,KEWELL WEST,PARISH OF KEWELL WEST,       10010820,2008/02/28
  1350,2871,KIA,PARISH OF KIA,       10010821,2008/02/28
  1351,2872,KIALLA,PARISH OF KIALLA,       10010822,2008/02/28
  1352,5415,KIALLA WEST (T),TOWNSHIP OF KIALLA WEST,       10010823,2008/02/28
  1353,5416,KIAMAL (T),TOWNSHIP OF KIAMAL,       10010824,2008/02/28
  1354,2873,KIANEEK,PARISH OF KIANEEK,       10010825,2008/02/28
  1355,2874,KIATA,PARISH OF KIATA,       10010826,2008/02/28
  1356,5417,KIATA (T),TOWNSHIP OF KIATA,       10010827,2008/02/28
  1357,5418,KILCUNDA (T),TOWNSHIP OF KILCUNDA,       10010828,2008/02/28
  1358,2875,KILLARA,PARISH OF KILLARA,       10010829,2008/02/28
  1359,2876,KILLAWARRA,PARISH OF KILLAWARRA,       10010830,2008/02/28
  1360,2877,KILLINGWORTH,PARISH OF KILLINGWORTH,       10010831,2008/02/28
  1361,5419,KILMANY (T),TOWNSHIP OF KILMANY,       10010832,2008/02/28
  1362,5420,KILMORE (T),TOWNSHIP OF KILMORE,       10010833,2008/02/28
  1363,2878,KILNOORAT,PARISH OF KILNOORAT,       10010834,2008/02/28
  1364,2879,KIMBOLTON,PARISH OF KIMBOLTON,       10010835,2008/02/28
  1365,2880,KINABULLA,PARISH OF KINABULLA,       10010836,2008/02/28
  1366,2881,KINGLAKE,PARISH OF KINGLAKE,       10010837,2008/02/28
  1367,5421,KINGLAKE CENTRAL (T),TOWNSHIP OF KINGLAKE CENTRAL,       10010838,2008/02/28
  1368,5422,KINGLAKE EAST (T),TOWNSHIP OF KINGLAKE EAST,       10010839,2008/02/28
  1369,2882,KINGOWER,PARISH OF KINGOWER,       10010840,2008/02/28
  1370,5423,KINGOWER (T),TOWNSHIP OF KINGOWER,       10010841,2008/02/28
  1371,2883,KINIMAKATKA,PARISH OF KINIMAKATKA,       10010842,2008/02/28
  1372,2884,KINKELLA,PARISH OF KINKELLA,       10010843,2008/02/28
  1373,2885,KINYPANIAL,PARISH OF KINYPANIAL,       10010844,2008/02/28
  1375,2887,KIRKELLA,PARISH OF KIRKELLA,       10010846,2008/02/28
  1376,2888,KIRKENONG,PARISH OF KIRKENONG,       10010847,2008/02/28
  1378,2889,KIRRAK,PARISH OF KIRRAK,       10010849,2008/02/28
  1379,2890,KNAAWING,PARISH OF KNAAWING,       10010850,2008/02/28
  1380,2891,KNOCKWOOD,PARISH OF KNOCKWOOD,       10010851,2008/02/28
  1382,2893,KNOWSLEY EAST,PARISH OF KNOWSLEY EAST,       10010853,2008/02/28
  1383,2894,KOBYBOYN,PARISH OF KOBYBOYN,       10010854,2008/02/28
  1385,5425,KOETONG (T),TOWNSHIP OF KOETONG,       10010856,2008/02/28
  1386,2896,KOIMBO,PARISH OF KOIMBO,       10010857,2008/02/28
  1388,2898,KOLORA,PARISH OF KOLORA,       10010859,2008/02/28
  1389,2899,KONARDIN,PARISH OF KONARDIN,       10010860,2008/02/28
  1391,2901,KONGWAK,PARISH OF KONGWAK,       10010862,2008/02/28
  1392,2902,KONNEPRA,PARISH OF KONNEPRA,       10010863,2008/02/28
  1394,2920,KOO-WEE-RUP,PARISH OF KOO-WEE-RUP,       10010865,2008/02/28
  1395,2921,KOO-WEE-RUP EAST,PARISH OF KOO-WEE-RUP EAST,       10010866,2008/02/28
  1396,2904,KOOEM,PARISH OF KOOEM,       10010867,2008/02/28
  1397,2905,KOOLA,PARISH OF KOOLA,       10010868,2008/02/28
  1399,5426,KOOLOONONG (T),TOWNSHIP OF KOOLOONONG,       10010870,2008/02/28
  1400,2907,KOOMBERAR,PARISH OF KOOMBERAR,       10010871,2008/02/28
  1402,5427,KOONDROOK (T),TOWNSHIP OF KOONDROOK,       10010873,2008/02/28
  1403,2910,KOONIK KOONIK,PARISH OF KOONIK KOONIK,       10010874,2008/02/28
  1405,5428,KOONOOMOO (T),TOWNSHIP OF KOONOOMOO,       10010876,2008/02/28
  1406,5429,KOONWARRA (T),TOWNSHIP OF KOONWARRA,       10010877,2008/02/28
  1408,2912,KOORANGIE,PARISH OF KOORANGIE,       10010879,2008/02/28
  1409,2913,KOOREH,PARISH OF KOOREH,       10010880,2008/02/28
  1411,2915,KOOROC,PARISH OF KOOROC,       10010882,2008/02/28
  1412,2916,KOOROOL,PARISH OF KOOROOL,       10010883,2008/02/28
  1414,5430,KOOROOMAN (T),TOWNSHIP OF KOOROOMAN,       10010885,2008/02/28
  1415,2918,KOOROON,PARISH OF KOOROON,       10010886,2008/02/28
  1416,2919,KOORT-KOORT-NONG,PARISH OF KOORT-KOORT-NONG,       10010887,2008/02/28
  1418,2922,KORKUPERRIMUL,PARISH OF KORKUPERRIMUL,       10010889,2008/02/28
  1419,2923,KORNONG,PARISH OF KORNONG,       10010890,2008/02/28
  1421,2925,KOROIT,PARISH OF KOROIT,       10010892,2008/02/28
  1422,5432,KOROKUBEAL (T),TOWNSHIP OF KOROKUBEAL,       10010893,2008/02/28
  1423,2926,KORONG,PARISH OF KORONG,       10010894,2008/02/28
  1425,2927,KOROROIT,PARISH OF KOROROIT,       10010896,2008/02/28
  1426,2928,KORRAK KORRAK,PARISH OF KORRAK KORRAK,       10010897,2008/02/28
  1427,2929,KORUMBURRA,PARISH OF KORUMBURRA,       10010898,2008/02/28
  1429,2930,KORWEINGUBOORA,PARISH OF KORWEINGUBOORA,       10010900,2008/02/28
  1430,2931,KOSCIUSKO,PARISH OF KOSCIUSKO,       10010901,2008/02/28
  1431,2932,KOTUPNA,PARISH OF KOTUPNA,       10010902,2008/02/28
  1433,2934,KOWAT,PARISH OF KOWAT,       10010904,2008/02/28
  1434,2935,KOYUGA,PARISH OF KOYUGA,       10010905,2008/02/28
  1436,2936,KRAMBRUK,PARISH OF KRAMBRUK,       10010907,2008/02/28
  1437,2937,KUARK,PARISH OF KUARK,       10010908,2008/02/28
  1438,2938,KULK,PARISH OF KULK,       10010909,2008/02/28
  1440,2940,KULWIN,PARISH OF KULWIN,       10010911,2008/02/28
  1441,5436,KULWIN (T),TOWNSHIP OF KULWIN,       10010912,2008/02/28
  1443,2942,KURDGWEECHEE,PARISH OF KURDGWEECHEE,       10010914,2008/02/28
  1444,2943,KURNBRUNIN,PARISH OF KURNBRUNIN,       10010915,2008/02/28
  1446,2945,KURRACA,PARISH OF KURRACA,       10010917,2008/02/28
  1447,5437,KURRACA (T),TOWNSHIP OF KURRACA,       10010918,2008/02/28
  1448,2946,KURTING,PARISH OF KURTING,       10010919,2008/02/28
  1450,2948,KYABRAM,PARISH OF KYABRAM,       10010921,2008/02/28
  1451,5438,KYABRAM (T),TOWNSHIP OF KYABRAM,       10010922,2008/02/28
  1453,2950,KYBEYAN,PARISH OF KYBEYAN,       10010924,2008/02/28
  1454,5439,KYNETON (T),TOWNSHIP OF KYNETON,       10010925,2008/02/28
  1455,2977,LA TROBE,PARISH OF LA TROBE,       10010926,2008/02/28
  1457,5440,LAANECOORIE (T),TOWNSHIP OF LAANECOORIE,       10010928,2008/02/28
  1458,2952,LAANG,PARISH OF LAANG,       10010929,2008/02/28
  1459,5441,LAANG (T),TOWNSHIP OF LAANG,       10010930,2008/02/28
