PARISH_TOWN_ID,PARISH_TOWN_CODE,PARISH_TOWN,PARISH_TOWN_DISPLAY,UFI,UFI_CREATED
   245,5078,BET BET (T),TOWNSHIP OF BET BET,       10009716,2008/02/28
   249,2136,BETKA,PARISH OF BETKA,       10009720,2008/02/28
   251,2137,BEULAH,PARISH OF BEULAH,       10009722,2008/02/28
   254,2138,BEYAL,PARISH OF BEYAL,       10009725,2008/02/28
   257,2141,BIG DESERT,PARISH OF BIG DESERT,       10009728,2008/02/28
   261,2145,BILLIMINAH,PARISH OF BILLIMINAH,       10009732,2008/02/28
   264,2148,BINDI,PARISH OF BINDI,       10009735,2008/02/28
   267,2151,BINGO-MUNJIE NORTH,PARISH OF BINGO-MUNJIE NORTH,       10009738,2008/02/28
   272,5084,BIRCHIP (T),TOWNSHIP OF BIRCHIP,       10009743,2008/02/28
   275,5085,BIRREGURRA (T),TOWNSHIP OF BIRREGURRA,       10009746,2008/02/28
   279,5086,BLACKWARRY (T),TOWNSHIP OF BLACKWARRY,       10009750,2008/02/28
   283,5089,BOCCA FLAT (T),TOWNSHIP OF BOCCA FLAT,       10009754,2008/02/28
   287,2164,BOGONG NORTH,PARISH OF BOGONG NORTH,       10009758,2008/02/28
   291,5090,BOIGBEAT (T),TOWNSHIP OF BOIGBEAT,       10009762,2008/02/28
   294,2169,BOINKA,PARISH OF BOINKA,       10009765,2008/02/28
   297,2171,BOLANGUM,PARISH OF BOLANGUM,       10009768,2008/02/28
   300,2174,BOLLINDA,PARISH OF BOLLINDA,       10009771,2008/02/28
   304,2176,BONANG,PARISH OF BONANG,       10009775,2008/02/28
   307,2178,BONEGILLA,PARISH OF BONEGILLA,       10009778,2008/02/28
   310,2180,BONTHERAMBO,PARISH OF BONTHERAMBO,       10009781,2008/02/28
   314,5097,BOOLARRA (T),TOWNSHIP OF BOOLARRA,       10009785,2008/02/28
   317,2185,BOOLUNGAL,PARISH OF BOOLUNGAL,       10009788,2008/02/28
   321,2189,BOONDEROOT,PARISH OF BOONDEROOT,       10009792,2008/02/28
   371,2227,BRIGHT,PARISH OF BRIGHT,       10009842,2008/02/28
   374,2230,BRIM BRIM,PARISH OF BRIM BRIM,       10009845,2008/02/28
   377,2231,BRIMIN,PARISH OF BRIMIN,       10009848,2008/02/28
   380,2234,BRIT BRIT,PARISH OF BRIT BRIT,       10009851,2008/02/28
   384,2236,BROADLANDS,PARISH OF BROADLANDS,       10009855,2008/02/28
   387,2238,BROCKIE,PARISH OF BROCKIE,       10009858,2008/02/28
   390,5117,BROOMFIELD (T),TOWNSHIP OF BROOMFIELD,       10009861,2008/02/28
   394,2240,BRUCKNELL,PARISH OF BRUCKNELL,       10009865,2008/02/28
   398,5120,BRUTHEN (T),TOWNSHIP OF BRUTHEN,       10009869,2008/02/28
   401,2244,BUCHAN,PARISH OF BUCHAN,       10009872,2008/02/28
   404,2246,BUCKERAN YARRACK,PARISH OF BUCKERAN YARRACK,       10009875,2008/02/28
   408,2249,BUDGEE BUDGEE,PARISH OF BUDGEE BUDGEE,       10009879,2008/02/28
   412,5124,BUFFALO (T),TOWNSHIP OF BUFFALO,       10009883,2008/02/28
   416,2256,BULGABACK,PARISH OF BULGABACK,       10009887,2008/02/28
   419,2258,BULLA BULLA,PARISH OF BULLA BULLA,       10009890,2008/02/28
   423,2262,BULLARTO,PARISH OF BULLARTO,       10009894,2008/02/28
   426,2263,BULLAWIN,PARISH OF BULLAWIN,       10009897,2008/02/28
   429,2266,BULLIOH,PARISH OF BULLIOH,       10009900,2008/02/28
   432,2268,BULLUNG,PARISH OF BULLUNG,       10009903,2008/02/28
   435,2270,BUMBERRAH,PARISH OF BUMBERRAH,       10009906,2008/02/28
   439,5131,BUNDALONG (T),TOWNSHIP OF BUNDALONG,       10009910,2008/02/28
   443,5132,BUNG BONG (T),TOWNSHIP OF BUNG BONG,       10009914,2008/02/28
   446,2277,BUNGAMERO,PARISH OF BUNGAMERO,       10009917,2008/02/28
   450,2282,BUNGEET,PARISH OF BUNGEET,       10009921,2008/02/28
   453,2284,BUNGIL EAST,PARISH OF BUNGIL EAST,       10009924,2008/02/28
   456,2287,BUNINYONG,PARISH OF BUNINYONG,       10009927,2008/02/28
   460,2290,BUNYIP,PARISH OF BUNYIP,       10009931,2008/02/28
   463,2292,BURGOYNE,PARISH OF BURGOYNE,       10009934,2008/02/28
   466,2294,BURNELL,PARISH OF BURNELL,       10009937,2008/02/28
   469,2297,BURRAH BURRAH,PARISH OF BURRAH BURRAH,       10009940,2008/02/28
   473,5137,BURREREO (T),TOWNSHIP OF BURREREO,       10009944,2008/02/28
   477,2306,BURRUM BURRUM,PARISH OF BURRUM BURRUM,       10009948,2008/02/28
   480,2307,BURRUNGABUGGE,PARISH OF BURRUNGABUGGE,       10009951,2008/02/28
   484,5139,BUSHFIELD (T),TOWNSHIP OF BUSHFIELD,       10009955,2008/02/28
   488,2313,BYADUK,PARISH OF BYADUK,       10009959,2008/02/28
   491,2314,BYAMBYNEE,PARISH OF BYAMBYNEE,       10009962,2008/02/28
   494,2317,BYJUKE,PARISH OF BYJUKE,       10009965,2008/02/28
   497,2320,CALIVIL,PARISH OF CALIVIL,       10009968,2008/02/28
   500,2322,CALLIGNEE,PARISH OF CALLIGNEE,       10009971,2008/02/28
   504,5144,CAMBRIAN HILL (T),TOWNSHIP OF CAMBRIAN HILL,       10009975,2008/02/28
   508,5146,CAMPBELLTOWN (T),TOWNSHIP OF CAMPBELLTOWN,       10009979,2008/02/28
   512,5148,CANN RIVER (T),TOWNSHIP OF CANN RIVER,       10009983,2008/02/28
   516,5149,CAPE CLEAR (T),TOWNSHIP OF CAPE CLEAR,       10009987,2008/02/28
   520,2335,CARAMBALLUC SOUTH,PARISH OF CARAMBALLUC SOUTH,       10009991,2008/02/28
   525,5151,CARAPOOEE (T),TOWNSHIP OF CARAPOOEE,       10009996,2008/02/28
   528,5152,CARAPOOK (T),TOWNSHIP OF CARAPOOK,       10009999,2008/02/28
   532,2344,CARDIGAN,PARISH OF CARDIGAN,       10010003,2008/02/28
   535,2346,CARINA,PARISH OF CARINA,       10010006,2008/02/28
   538,2348,CARLSRUHE,PARISH OF CARLSRUHE,       10010009,2008/02/28
   542,5156,CARLYLE (T),TOWNSHIP OF CARLYLE,       10010013,2008/02/28
   545,5157,CARNGHAM (T),TOWNSHIP OF CARNGHAM,       10010016,2008/02/28
   549,2355,CARRAH,PARISH OF CARRAH,       10010020,2008/02/28
   552,2357,CARRAK,PARISH OF CARRAK,       10010023,2008/02/28
   555,2360,CARRUNG-E-MURNONG,PARISH OF CARRUNG-E-MURNONG,       10010026,2008/02/28
   559,2363,CARWARP WEST,PARISH OF CARWARP WEST,       10010030,2008/02/28
   563,5162,CASTERTON (T),TOWNSHIP OF CASTERTON,       10010034,2008/02/28
   567,5163,CASTLEMAINE (T),TOWNSHIP OF CASTLEMAINE,       10010038,2008/02/28
   571,5165,CAVENDISH (T),TOWNSHIP OF CAVENDISH,       10010042,2008/02/28
   575,5166,CHARLTON (T),TOWNSHIP OF CHARLTON,       10010046,2008/02/28
   578,2374,CHATSWORTH,PARISH OF CHATSWORTH,       10010049,2008/02/28
   582,5168,CHEPSTOWE (T),TOWNSHIP OF CHEPSTOWE,       10010053,2008/02/28
   586,5171,CHETWYND (T),TOWNSHIP OF CHETWYND,       10010057,2008/02/28
   589,2379,CHILLINGOLLAH,PARISH OF CHILLINGOLLAH,       10010060,2008/02/28
   593,2382,CHILTERN WEST,PARISH OF CHILTERN WEST,       10010064,2008/02/28
   597,2385,CHINTIN,PARISH OF CHINTIN,       10010068,2008/02/28
   600,2541B,CITY OF ESSENDON (DOUTTA GALLA),"CITY OF ESSENDON, PARISH OF DOUTTA GALLA",       10010071,2008/02/28
   607,3084D,CITY OF SOUTH MELBOURNE (MELBOURNE SOUTH),"CITY OF SOUTH MELBOURNE, PARISH OF MELBOURNE SOUTH",       10010078,2008/02/28
   615,5177,CLUB TERRACE (T),TOWNSHIP OF CLUB TERRACE,       10010086,2008/02/28
   619,2392,COBAW,PARISH OF COBAW,       10010090,2008/02/28
   622,5180,COBDEN (T),TOWNSHIP OF COBDEN,       10010093,2008/02/28
   625,2397,COBRAM,PARISH OF COBRAM,       10010096,2008/02/28
